goterms	description	ontology	search_term
GO:0002283	neutrophil activation involved in immune response	biological_process	acquired%20immune%20response
GO:0002285	lymphocyte activation involved in immune response	biological_process	acquired%20immune%20response
GO:0002263	cell activation involved in immune response	biological_process	acquired%20immune%20response
GO:0002265	astrocyte activation involved in immune response	biological_process	acquired%20immune%20response
GO:0002276	basophil activation involved in immune response	biological_process	acquired%20immune%20response
GO:0002278	eosinophil activation involved in immune response	biological_process	acquired%20immune%20response
GO:0002461	tolerance induction dependent upon immune response	biological_process	acquired%20immune%20response
GO:2000316	regulation of T-helper 17 type immune response	biological_process	acquired%20immune%20response
GO:0010112	regulation of systemic acquired resistance	biological_process	acquired%20immune%20response
GO:0002820	negative regulation of adaptive immune response	biological_process	acquired%20immune%20response
GO:0002821	positive regulation of adaptive immune response	biological_process	acquired%20immune%20response
GO:0002828	regulation of type 2 immune response	biological_process	acquired%20immune%20response
GO:0090323	prostaglandin secretion involved in immune response	biological_process	acquired%20immune%20response
GO:0002522	leukocyte migration involved in immune response	biological_process	acquired%20immune%20response
GO:0002251	organ or tissue specific immune response	biological_process	acquired%20immune%20response
GO:0002233	leukocyte chemotaxis involved in immune response	biological_process	acquired%20immune%20response
GO:0002281	macrophage activation involved in immune response	biological_process	acquired%20immune%20response
GO:1905677	regulation of adaptive immune effector response	biological_process	acquired%20immune%20response
GO:1905674	regulation of adaptive immune memory response	biological_process	acquired%20immune%20response
GO:0002366	leukocyte activation involved in immune response	biological_process	acquired%20immune%20response
GO:0002367	cytokine production involved in immune response	biological_process	acquired%20immune%20response
GO:0002758	innate immune response-activating signaling pathway	biological_process	acquired%20immune%20response
GO:0002766	innate immune response-inhibiting signal transduction	biological_process	acquired%20immune%20response
GO:1905034	regulation of antifungal innate immune response	biological_process	acquired%20immune%20response
GO:0045824	negative regulation of innate immune response	biological_process	acquired%20immune%20response
GO:0045089	positive regulation of innate immune response	biological_process	acquired%20immune%20response
GO:0002889	regulation of immunoglobulin mediated immune response	biological_process	acquired%20immune%20response
GO:0002921	negative regulation of humoral immune response	biological_process	acquired%20immune%20response
GO:0002922	positive regulation of humoral immune response	biological_process	acquired%20immune%20response
GO:0002449	lymphocyte mediated immunity	biological_process	acquired%20immune%20response
GO:0002282	microglial cell activation involved in immune response	biological_process	acquired%20immune%20response
GO:0002279	mast cell activation involved in immune response	biological_process	acquired%20immune%20response
GO:0002264	endothelial cell activation involved in immune response	biological_process	acquired%20immune%20response
GO:0002275	myeloid cell activation involved in immune response	biological_process	acquired%20immune%20response
GO:2000318	positive regulation of T-helper 17 type immune response	biological_process	acquired%20immune%20response
GO:2000317	negative regulation of T-helper 17 type immune response	biological_process	acquired%20immune%20response
GO:0002830	positive regulation of type 2 immune response	biological_process	acquired%20immune%20response
GO:0002837	regulation of immune response to tumor cell	biological_process	acquired%20immune%20response
GO:0002829	negative regulation of type 2 immune response	biological_process	acquired%20immune%20response
GO:0002322	B cell proliferation involved in immune response	biological_process	acquired%20immune%20response
GO:0002312	B cell activation involved in immune response	biological_process	acquired%20immune%20response
GO:0002309	T cell proliferation involved in immune response	biological_process	acquired%20immune%20response
GO:0002440	production of molecular mediator of immune response	biological_process	acquired%20immune%20response
GO:0075528	perturbation by virus of host immune response	biological_process	acquired%20immune%20response
GO:0002286	T cell activation involved in immune response	biological_process	acquired%20immune%20response
GO:0002292	T cell differentiation involved in immune response	biological_process	acquired%20immune%20response
GO:1905676	positive regulation of adaptive immune memory response	biological_process	acquired%20immune%20response
GO:1905675	negative regulation of adaptive immune memory response	biological_process	acquired%20immune%20response
GO:1905679	positive regulation of adaptive immune effector response	biological_process	acquired%20immune%20response
GO:1905678	negative regulation of adaptive immune effector response	biological_process	acquired%20immune%20response
GO:0002383	immune response in brain or nervous system	biological_process	acquired%20immune%20response
GO:0002455	humoral immune response mediated by circulating immunoglobulin	biological_process	acquired%20immune%20response
GO:1905035	negative regulation of antifungal innate immune response	biological_process	acquired%20immune%20response
GO:1905036	positive regulation of antifungal innate immune response	biological_process	acquired%20immune%20response
GO:0052553	symbiont-mediated perturbation of host immune response	biological_process	acquired%20immune%20response
GO:0052562	symbiont-mediated suppression of host immune response	biological_process	acquired%20immune%20response
GO:0002890	negative regulation of immunoglobulin mediated immune response	biological_process	acquired%20immune%20response
GO:0002891	positive regulation of immunoglobulin mediated immune response	biological_process	acquired%20immune%20response
GO:1901672	positive regulation of systemic acquired resistance	biological_process	acquired%20immune%20response
GO:0010113	negative regulation of systemic acquired resistance	biological_process	acquired%20immune%20response
GO:0002652	regulation of tolerance induction dependent upon immune response	biological_process	acquired%20immune%20response
GO:0002284	myeloid dendritic cell differentiation involved in immune response	biological_process	acquired%20immune%20response
GO:0002267	follicular dendritic cell activation involved in immune response	biological_process	acquired%20immune%20response
GO:0002271	plasmacytoid dendritic cell activation involved in immune response	biological_process	acquired%20immune%20response
GO:0002272	plasmacytoid dendritic cell differentiation involved in immune response	biological_process	acquired%20immune%20response
GO:0002277	myeloid dendritic cell activation involved in immune response	biological_process	acquired%20immune%20response
GO:0061844	antimicrobial humoral immune response mediated by antimicrobial peptide	biological_process	acquired%20immune%20response
GO:0002838	negative regulation of immune response to tumor cell	biological_process	acquired%20immune%20response
GO:0002839	positive regulation of immune response to tumor cell	biological_process	acquired%20immune%20response
GO:0002825	regulation of T-helper 1 type immune response	biological_process	acquired%20immune%20response
GO:0002313	mature B cell differentiation involved in immune response	biological_process	acquired%20immune%20response
GO:0002323	natural killer cell activation involved in immune response	biological_process	acquired%20immune%20response
GO:0002324	natural killer cell proliferation involved in immune response	biological_process	acquired%20immune%20response
GO:0002325	natural killer cell differentiation involved in immune response	biological_process	acquired%20immune%20response
GO:0002424	T cell mediated immune response to tumor cell	biological_process	acquired%20immune%20response
GO:0002429	immune response-activating cell surface receptor signaling pathway	biological_process	acquired%20immune%20response
GO:0002288	NK T cell activation involved in immune response	biological_process	acquired%20immune%20response
GO:0002289	NK T cell proliferation involved in immune response	biological_process	acquired%20immune%20response
GO:0002208	somatic diversification of immunoglobulins involved in immune response	biological_process	acquired%20immune%20response
GO:0002381	immunoglobulin production involved in immunoglobulin-mediated immune response	biological_process	acquired%20immune%20response
GO:0002718	regulation of cytokine production involved in immune response	biological_process	acquired%20immune%20response
GO:0002767	immune response-inhibiting cell surface receptor signaling pathway	biological_process	acquired%20immune%20response
GO:0002768	immune response-regulating cell surface receptor signaling pathway	biological_process	acquired%20immune%20response
GO:0141043	symbiont-mediated evasion of host innate immune response	biological_process	acquired%20immune%20response
GO:0035397	helper T cell enhancement of adaptive immune response	biological_process	acquired%20immune%20response
GO:0052170	symbiont-mediated suppression of host innate immune response	biological_process	acquired%20immune%20response
GO:0052167	symbiont-mediated perturbation of host innate immune response	biological_process	acquired%20immune%20response
GO:1902615	immune response involved in response to exogenous dsRNA	biological_process	acquired%20immune%20response
GO:0140403	effector-mediated suppression of host innate immune response	biological_process	acquired%20immune%20response
GO:0097281	immune complex formation	biological_process	acquired%20immune%20response
GO:0002434	immune complex clearance	biological_process	acquired%20immune%20response
GO:0002520	immune system development	biological_process	acquired%20immune%20response
GO:0002252	immune effector process	biological_process	acquired%20immune%20response
GO:0002376	immune system process	biological_process	acquired%20immune%20response
GO:0061078	positive regulation of prostaglandin secretion involved in immune response	biological_process	acquired%20immune%20response
GO:0033006	regulation of mast cell activation involved in immune response	biological_process	acquired%20immune%20response
GO:0002826	negative regulation of T-helper 1 type immune response	biological_process	acquired%20immune%20response
GO:0002827	positive regulation of T-helper 1 type immune response	biological_process	acquired%20immune%20response
GO:0002310	alpha-beta T cell proliferation involved in immune response	biological_process	acquired%20immune%20response
GO:0002311	gamma-delta T cell proliferation involved in immune response	biological_process	acquired%20immune%20response
GO:0002303	gamma-delta T cell differentiation involved in immune response	biological_process	acquired%20immune%20response
GO:0002653	negative regulation of tolerance induction dependent upon immune response	biological_process	acquired%20immune%20response
GO:0002654	positive regulation of tolerance induction dependent upon immune response	biological_process	acquired%20immune%20response
GO:0002423	natural killer cell mediated immune response to tumor cell	biological_process	acquired%20immune%20response
GO:0002220	innate immune response activating cell surface receptor signaling pathway	biological_process	acquired%20immune%20response
GO:0002287	alpha-beta T cell activation involved in immune response	biological_process	acquired%20immune%20response
GO:0002290	gamma-delta T cell activation involved in immune response	biological_process	acquired%20immune%20response
GO:0002293	alpha-beta T cell differentiation involved in immune response	biological_process	acquired%20immune%20response
GO:0002204	somatic recombination of immunoglobulin genes involved in immune response	biological_process	acquired%20immune%20response
GO:0002205	somatic hypermutation of immunoglobulin genes involved in immune response	biological_process	acquired%20immune%20response
GO:0002207	gene conversion of immunoglobulin genes involved in immune response	biological_process	acquired%20immune%20response
GO:0002719	negative regulation of cytokine production involved in immune response	biological_process	acquired%20immune%20response
GO:0002720	positive regulation of cytokine production involved in immune response	biological_process	acquired%20immune%20response
GO:0002700	regulation of production of molecular mediator of immune response	biological_process	acquired%20immune%20response
GO:0141140	symbiont-mediated suppression of host immunoglobulin-mediated immune response	biological_process	acquired%20immune%20response
GO:0002923	regulation of humoral immune response mediated by circulating immunoglobulin	biological_process	acquired%20immune%20response
GO:0052160	symbiont-mediated perturbation of host systemic acquired resistance	biological_process	acquired%20immune%20response
GO:0009862	systemic acquired resistance, salicylic acid mediated signaling pathway	biological_process	acquired%20immune%20response
GO:0033008	positive regulation of mast cell activation involved in immune response	biological_process	acquired%20immune%20response
GO:0033007	negative regulation of mast cell activation involved in immune response	biological_process	acquired%20immune%20response
GO:0002840	regulation of T cell mediated immune response to tumor cell	biological_process	acquired%20immune%20response
GO:0090717	adaptive immune memory response involving T cells and B cells	biological_process	acquired%20immune%20response
GO:0090721	primary adaptive immune response involving T cells and B cells	biological_process	acquired%20immune%20response
GO:0002701	negative regulation of production of molecular mediator of immune response	biological_process	acquired%20immune%20response
GO:0002702	positive regulation of production of molecular mediator of immune response	biological_process	acquired%20immune%20response
GO:0035398	helper T cell enhancement of T cell mediated immune response	biological_process	acquired%20immune%20response
GO:0035399	helper T cell enhancement of B cell mediated immune response	biological_process	acquired%20immune%20response
GO:0140533	symbiont-mediated suppression of host RNAi-mediated antiviral immune response	biological_process	acquired%20immune%20response
GO:0032826	regulation of natural killer cell differentiation involved in immune response	biological_process	acquired%20immune%20response
GO:0032820	regulation of natural killer cell proliferation involved in immune response	biological_process	acquired%20immune%20response
GO:0052085	symbiont-mediated suppression of host T-cell mediated immune response	biological_process	acquired%20immune%20response
GO:0052086	symbiont-mediated suppression of host B-cell mediated immune response	biological_process	acquired%20immune%20response
GO:0052156	symbiont-mediated perturbation of host T-cell mediated immune response	biological_process	acquired%20immune%20response
GO:0052154	symbiont-mediated perturbation of host B-cell mediated immune response	biological_process	acquired%20immune%20response
GO:0002924	negative regulation of humoral immune response mediated by circulating immunoglobulin	biological_process	acquired%20immune%20response
GO:0002925	positive regulation of humoral immune response mediated by circulating immunoglobulin	biological_process	acquired%20immune%20response
GO:0140404	effector-mediated perturbation of host innate immune response by symbiont	biological_process	acquired%20immune%20response
GO:0002259	endothelial cell activation within high endothelial venule involved in immune response	biological_process	acquired%20immune%20response
GO:2001191	regulation of gamma-delta T cell activation involved in immune response	biological_process	acquired%20immune%20response
GO:0002841	negative regulation of T cell mediated immune response to tumor cell	biological_process	acquired%20immune%20response
GO:0002842	positive regulation of T cell mediated immune response to tumor cell	biological_process	acquired%20immune%20response
GO:0002302	CD8-positive, alpha-beta T cell differentiation involved in immune response	biological_process	acquired%20immune%20response
GO:0090719	adaptive immune effector response involving T cells and B lineage cells	biological_process	acquired%20immune%20response
GO:0061081	positive regulation of myeloid leukocyte cytokine production involved in immune response	biological_process	acquired%20immune%20response
GO:0002433	immune response-regulating cell surface receptor signaling pathway involved in phagocytosis	biological_process	acquired%20immune%20response
GO:0002294	CD4-positive, alpha-beta T cell differentiation involved in immune response	biological_process	acquired%20immune%20response
GO:0032827	negative regulation of natural killer cell differentiation involved in immune response	biological_process	acquired%20immune%20response
GO:0032828	positive regulation of natural killer cell differentiation involved in immune response	biological_process	acquired%20immune%20response
GO:0032821	negative regulation of natural killer cell proliferation involved in immune response	biological_process	acquired%20immune%20response
GO:0032822	positive regulation of natural killer cell proliferation involved in immune response	biological_process	acquired%20immune%20response
GO:0002855	regulation of natural killer cell mediated immune response to tumor cell	biological_process	acquired%20immune%20response
GO:0002269	leukocyte activation involved in inflammatory response	biological_process	acquired%20immune%20response
GO:2001192	negative regulation of gamma-delta T cell activation involved in immune response	biological_process	acquired%20immune%20response
GO:2001193	positive regulation of gamma-delta T cell activation involved in immune response	biological_process	acquired%20immune%20response
GO:0002856	negative regulation of natural killer cell mediated immune response to tumor cell	biological_process	acquired%20immune%20response
GO:0002857	positive regulation of natural killer cell mediated immune response to tumor cell	biological_process	acquired%20immune%20response
GO:0002524	hypersensitivity	biological_process	acquired%20immune%20response
GO:0060013	righting reflex	biological_process	acquired%20immune%20response
GO:0019236	response to pheromone	biological_process	acquired%20immune%20response
GO:0046958	nonassociative learning	biological_process	acquired%20immune%20response
GO:0015968	stringent response	biological_process	acquired%20immune%20response
GO:0010048	vernalization response	biological_process	acquired%20immune%20response
GO:0006954	inflammatory response	biological_process	acquired%20immune%20response
GO:0006971	hypotonic response	biological_process	acquired%20immune%20response
GO:0006972	hyperosmotic response	biological_process	acquired%20immune%20response
GO:0006952	defense response	biological_process	acquired%20immune%20response
GO:0001964	startle response	biological_process	acquired%20immune%20response
GO:0042596	fear response	biological_process	acquired%20immune%20response
GO:0150076	neuroinflammatory response	biological_process	acquired%20immune%20response
GO:0071632	optomotor response	biological_process	acquired%20immune%20response
GO:0009432	SOS response	biological_process	acquired%20immune%20response
GO:0007630	jump response	biological_process	acquired%20immune%20response
GO:0002697	regulation of immune effector process	biological_process	acquired%20immune%20response
GO:0002682	regulation of immune system process	biological_process	acquired%20immune%20response
GO:0002435	immune complex clearance by erythrocytes	biological_process	acquired%20immune%20response
GO:0002200	somatic diversification of immune receptors	biological_process	acquired%20immune%20response
GO:0002430	complement receptor mediated signaling pathway	biological_process	acquired%20immune%20response
GO:0002298	CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation involved in immune response	biological_process	acquired%20immune%20response
GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	biological_process	acquired%20immune%20response
GO:0002521	leukocyte differentiation	biological_process	acquired%20immune%20response
GO:0001776	leukocyte homeostasis	biological_process	acquired%20immune%20response
GO:0045321	leukocyte activation	biological_process	acquired%20immune%20response
GO:0030595	leukocyte chemotaxis	biological_process	acquired%20immune%20response
GO:0002459	adaptive immune response based on somatic recombination of immune receptors built from leucine-rich repeat domains	biological_process	acquired%20immune%20response
GO:0032832	regulation of CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation involved in immune response	biological_process	acquired%20immune%20response
GO:0002698	negative regulation of immune effector process	biological_process	acquired%20immune%20response
GO:0002699	positive regulation of immune effector process	biological_process	acquired%20immune%20response
GO:0002683	negative regulation of immune system process	biological_process	acquired%20immune%20response
GO:0002684	positive regulation of immune system process	biological_process	acquired%20immune%20response
GO:0160006	Fc receptor-mediated immune complex endocytosis	biological_process	acquired%20immune%20response
GO:0002822	regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	biological_process	acquired%20immune%20response
GO:0032834	positive regulation of CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation involved in immune response	biological_process	acquired%20immune%20response
GO:0032833	negative regulation of CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation involved in immune response	biological_process	acquired%20immune%20response
GO:0002232	leukocyte chemotaxis involved in inflammatory response	biological_process	acquired%20immune%20response
GO:0002823	negative regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	biological_process	acquired%20immune%20response
GO:0002824	positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	biological_process	acquired%20immune%20response
GO:0034341	response to type II interferon	biological_process	acquired%20immune%20response
GO:0002436	immune complex clearance by monocytes and macrophages	biological_process	acquired%20immune%20response
GO:0002567	somatic diversification of FREP-based immune receptors	biological_process	acquired%20immune%20response
GO:0002201	somatic diversification of DSCAM-based immune receptors	biological_process	acquired%20immune%20response
GO:0043555	regulation of translation in response to stress	biological_process	acquired%20immune%20response
GO:1990680	response to melanocyte-stimulating hormone	biological_process	acquired%20immune%20response
GO:1902074	response to salt	biological_process	acquired%20immune%20response
GO:1904619	response to dimethyl sulfoxide	biological_process	acquired%20immune%20response
GO:1904631	response to glucoside	biological_process	acquired%20immune%20response
GO:1904641	response to dinitrophenol	biological_process	acquired%20immune%20response
GO:0010042	response to manganese ion	biological_process	acquired%20immune%20response
GO:0010043	response to zinc ion	biological_process	acquired%20immune%20response
GO:0010039	response to iron ion	biological_process	acquired%20immune%20response
GO:0010036	response to boron-containing substance	biological_process	acquired%20immune%20response
GO:0010045	response to nickel cation	biological_process	acquired%20immune%20response
GO:1904587	response to glycoprotein	biological_process	acquired%20immune%20response
GO:1904567	response to wortmannin	biological_process	acquired%20immune%20response
GO:0097210	response to gonadotropin-releasing hormone	biological_process	acquired%20immune%20response
GO:0014823	response to activity	biological_process	acquired%20immune%20response
GO:0034201	response to oleic acid	biological_process	acquired%20immune%20response
GO:0036460	cellular response to cell envelope stress	biological_process	acquired%20immune%20response
GO:1902522	response to 4-epidoxorubicin	biological_process	acquired%20immune%20response
GO:1902519	response to docetaxel trihydrate	biological_process	acquired%20immune%20response
GO:0014074	response to purine-containing compound	biological_process	acquired%20immune%20response
GO:0006982	response to lipid hydroperoxide	biological_process	acquired%20immune%20response
GO:0006991	response to sterol depletion	biological_process	acquired%20immune%20response
GO:1905389	response to leukotriene B4	biological_process	acquired%20immune%20response
GO:1905237	response to cyclosporin A	biological_process	acquired%20immune%20response
GO:0090664	response to high population density	biological_process	acquired%20immune%20response
GO:0016068	type I hypersensitivity	biological_process	acquired%20immune%20response
GO:0090649	response to oxygen-glucose deprivation	biological_process	acquired%20immune%20response
GO:0051602	response to electrical stimulus	biological_process	acquired%20immune%20response
GO:0051595	response to methylglyoxal	biological_process	acquired%20immune%20response
GO:0002209	behavioral defense response	biological_process	acquired%20immune%20response
GO:0051775	response to redox state	biological_process	acquired%20immune%20response
GO:0070391	response to lipoteichoic acid	biological_process	acquired%20immune%20response
GO:0072708	response to sorbitol	biological_process	acquired%20immune%20response
GO:0072706	response to sodium dodecyl sulfate	biological_process	acquired%20immune%20response
GO:0072702	response to methyl methanesulfonate	biological_process	acquired%20immune%20response
GO:0072712	response to thiabendazole	biological_process	acquired%20immune%20response
GO:0072710	response to hydroxyurea	biological_process	acquired%20immune%20response
GO:0033274	response to vitamin B2	biological_process	acquired%20immune%20response
GO:0001662	behavioral fear response	biological_process	acquired%20immune%20response
GO:0035006	melanization defense response	biological_process	acquired%20immune%20response
GO:1901345	response to L-thialysine	biological_process	acquired%20immune%20response
GO:0033189	response to vitamin A	biological_process	acquired%20immune%20response
GO:0035713	response to nitrogen dioxide	biological_process	acquired%20immune%20response
GO:1901554	response to paracetamol	biological_process	acquired%20immune%20response
GO:1901563	response to camptothecin	biological_process	acquired%20immune%20response
GO:0072347	response to anesthetic	biological_process	acquired%20immune%20response
GO:0060359	response to ammonium ion	biological_process	acquired%20immune%20response
GO:0043201	response to L-leucine	biological_process	acquired%20immune%20response
GO:0070541	response to platinum ion	biological_process	acquired%20immune%20response
GO:0070543	response to linoleic acid	biological_process	acquired%20immune%20response
GO:0010164	response to cesium ion	biological_process	acquired%20immune%20response
GO:0034612	response to tumor necrosis factor	biological_process	acquired%20immune%20response
GO:0071444	cellular response to pheromone	biological_process	acquired%20immune%20response
GO:0010447	response to acidic pH	biological_process	acquired%20immune%20response
GO:0009646	response to absence of light	biological_process	acquired%20immune%20response
GO:0009615	response to virus	biological_process	acquired%20immune%20response
GO:0009620	response to fungus	biological_process	acquired%20immune%20response
GO:0009625	response to insect	biological_process	acquired%20immune%20response
GO:0009624	response to nematode	biological_process	acquired%20immune%20response
GO:0009617	response to bacterium	biological_process	acquired%20immune%20response
GO:0071505	response to mycophenolic acid	biological_process	acquired%20immune%20response
GO:0046898	response to cycloheximide	biological_process	acquired%20immune%20response
GO:0043627	response to estrogen	biological_process	acquired%20immune%20response
GO:1902168	response to catechin	biological_process	acquired%20immune%20response
GO:1904772	response to tetrachloromethane	biological_process	acquired%20immune%20response
GO:1902140	response to inositol	biological_process	acquired%20immune%20response
GO:1990637	response to prolactin	biological_process	acquired%20immune%20response
GO:1904614	response to biphenyl	biological_process	acquired%20immune%20response
GO:1904629	response to diterpene	biological_process	acquired%20immune%20response
GO:1904636	response to ionomycin	biological_process	acquired%20immune%20response
GO:1904638	response to resveratrol	biological_process	acquired%20immune%20response
GO:1904643	response to curcumin	biological_process	acquired%20immune%20response
GO:1904640	response to methionine	biological_process	acquired%20immune%20response
GO:1904647	response to rotenone	biological_process	acquired%20immune%20response
GO:1904404	response to formaldehyde	biological_process	acquired%20immune%20response
GO:1904402	response to nocodazole	biological_process	acquired%20immune%20response
GO:1904481	response to tetrahydrofolate	biological_process	acquired%20immune%20response
GO:0034014	response to triglyceride	biological_process	acquired%20immune%20response
GO:0010034	response to acetate	biological_process	acquired%20immune%20response
GO:0010046	response to mycotoxin	biological_process	acquired%20immune%20response
GO:1902665	response to isobutanol	biological_process	acquired%20immune%20response
GO:0097714	response to viscosity	biological_process	acquired%20immune%20response
GO:1904585	response to putrescine	biological_process	acquired%20immune%20response
GO:1904558	response to dextromethorphan	biological_process	acquired%20immune%20response
GO:1904560	response to diphenidol	biological_process	acquired%20immune%20response
GO:1990478	response to ultrasound	biological_process	acquired%20immune%20response
GO:0071000	response to magnetism	biological_process	acquired%20immune%20response
GO:0034059	response to anoxia	biological_process	acquired%20immune%20response
GO:0034097	response to cytokine	biological_process	acquired%20immune%20response
GO:1902778	response to alkane	biological_process	acquired%20immune%20response
GO:1902780	response to nonane	biological_process	acquired%20immune%20response
GO:1902784	response to undecane	biological_process	acquired%20immune%20response
GO:1902782	response to decane	biological_process	acquired%20immune%20response
GO:1902788	response to isooctane	biological_process	acquired%20immune%20response
GO:1902786	response to dodecane	biological_process	acquired%20immune%20response
GO:1902708	response to plumbagin	biological_process	acquired%20immune%20response
GO:0000303	response to superoxide	biological_process	acquired%20immune%20response
GO:0002931	response to ischemia	biological_process	acquired%20immune%20response
GO:0036314	response to sterol	biological_process	acquired%20immune%20response
GO:0034284	response to monosaccharide	biological_process	acquired%20immune%20response
GO:0034286	response to maltose	biological_process	acquired%20immune%20response
GO:0034285	response to disaccharide	biological_process	acquired%20immune%20response
GO:0010200	response to chitin	biological_process	acquired%20immune%20response
GO:0009270	response to humidity	biological_process	acquired%20immune%20response
GO:0061847	response to cholecystokinin	biological_process	acquired%20immune%20response
GO:0036255	response to methylamine	biological_process	acquired%20immune%20response
GO:1904975	response to bleomycin	biological_process	acquired%20immune%20response
GO:0048265	response to pain	biological_process	acquired%20immune%20response
GO:1902347	response to strigolactone	biological_process	acquired%20immune%20response
GO:1902349	response to chloroquine	biological_process	acquired%20immune%20response
GO:0036287	response to iloperidone	biological_process	acquired%20immune%20response
GO:0036288	response to ximelagatran	biological_process	acquired%20immune%20response
GO:0036276	response to antidepressant	biological_process	acquired%20immune%20response
GO:0036277	response to anticonvulsant	biological_process	acquired%20immune%20response
GO:0036272	response to gemcitabine	biological_process	acquired%20immune%20response
GO:0036273	response to statin	biological_process	acquired%20immune%20response
GO:0036274	response to lapatinib	biological_process	acquired%20immune%20response
GO:0036270	response to diuretic	biological_process	acquired%20immune%20response
GO:0036271	response to methylphenidate	biological_process	acquired%20immune%20response
GO:1902351	response to imidacloprid	biological_process	acquired%20immune%20response
GO:0097184	response to azide	biological_process	acquired%20immune%20response
GO:0010238	response to proline	biological_process	acquired%20immune%20response
GO:0009269	response to desiccation	biological_process	acquired%20immune%20response
GO:0009268	response to pH	biological_process	acquired%20immune%20response
GO:0009314	response to radiation	biological_process	acquired%20immune%20response
GO:0010353	response to trehalose	biological_process	acquired%20immune%20response
GO:0061476	response to anticoagulant	biological_process	acquired%20immune%20response
GO:0061480	response to asparaginase	biological_process	acquired%20immune%20response
GO:1902520	response to doxorubicin	biological_process	acquired%20immune%20response
GO:1902521	response to etoposide	biological_process	acquired%20immune%20response
GO:1902518	response to cyclophosphamide	biological_process	acquired%20immune%20response
GO:0061482	response to irinotecan	biological_process	acquired%20immune%20response
GO:0051385	response to mineralocorticoid	biological_process	acquired%20immune%20response
GO:0051384	response to glucocorticoid	biological_process	acquired%20immune%20response
GO:1905429	response to glycine	biological_process	acquired%20immune%20response
GO:0014076	response to fluoxetine	biological_process	acquired%20immune%20response
GO:0014075	response to amine	biological_process	acquired%20immune%20response
GO:0014073	response to tropane	biological_process	acquired%20immune%20response
GO:0014071	response to cycloalkane	biological_process	acquired%20immune%20response
GO:0043331	response to dsRNA	biological_process	acquired%20immune%20response
GO:1905217	response to astaxanthin	biological_process	acquired%20immune%20response
GO:1905144	response to acetylcholine	biological_process	acquired%20immune%20response
GO:0006974	DNA damage response	biological_process	acquired%20immune%20response
GO:0006968	cellular defense response	biological_process	acquired%20immune%20response
